layer,feature,label,f1_score,detection_f1,fuzz_f1,f1_good,detection_f1_good,fuzz_good
28,27792,Dividend cut announcements impact stocks,0.0,0.0,,False,False,False
28,28283,Analyst stock rating changes,0.0392,0.0392,,False,False,False
28,28737,Dividend yield fund performance,0.0,0.0,,False,False,False
28,29064,Company names in financial news,0.0,0.0,,False,False,False
28,29101,Analyst credit rating downgrade announcements,0.0769,0.0769,,False,False,False
28,29123,Analyst credit rating downgrade announcements,0.0,0.0,,False,False,False
28,29226,Earnings misses relative to estimates,0.0,0.0,,False,False,False
28,29290,Earnings misses relative to estimates,0.0,0.0,,False,False,False
28,29479,REIT commercial property dividend yields,0.0,0.0,,False,False,False
28,30096,Earnings beats and misses relative,0.0,0.0,,False,False,False
28,30216,Earnings beats relative to estimates,0.0,0.0,,False,False,False
28,30364,Analyst rating changes and performance,0.0769,0.0769,,False,False,False
28,30444,Earnings misses relative to estimates,0.0,0.0,,False,False,False
28,30911,Earnings misses relative to estimates,0.0769,0.0769,,False,False,False
28,32257,Quarterly earnings surprises impacting stocks,0.1132,0.1132,,False,False,False
28,32343,Earnings misses relative to estimates,0.0769,0.0769,,False,False,False
28,32559,Corporate name suffix identification,0.5075,0.5075,,False,False,False
28,32606,Analyst research and commentary,0.0,0.0,,False,False,False
28,32893,Company-specific financial events,0.0,0.0,,False,False,False
28,33375,Analyst rating changes affecting stocks,0.0,0.0,,False,False,False
28,33546,Analyst rating changes and blog updates,0.1132,0.1132,,False,False,False
28,33772,Analyst rating upgrades and downgrades,0.2759,0.2759,,False,False,False
28,33885,Earnings misses relative to estimates,0.0,0.0,,False,False,False
28,34110,Earnings announcements and stock reactions,0.1481,0.1481,,False,False,False
28,34510,Earnings misses relative to estimates,0.1132,0.1132,,False,False,False
28,34960,Sector-specific stock performance updates,0.0,0.0,,False,False,False
28,35464,Merger acquisition transaction multiples,0.0,0.0,,False,False,False
28,35672,EPS beats relative to estimates,0.0769,0.0769,,False,False,False
